Configuration	Term	J	g	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Lande	Reference
"3p6.36s"	"2S"	"1/2"	2	""	"34913.8657"	""	"0.0007"	""	"L5451"
"3p6.35d"	"2D"	"5/2"	6	"["	"34918.7968"	"]"	"0.0007"	""	"L5451"
"3p6.35d"	"2D"	"3/2"	4	"["	"34918.7976"	"]"	"0.0007"	""	"L5451"
"3p6.37s"	"2S"	"1/2"	2	"["	"34919.2976"	"]"	"0.0007"	""	"L5451"
"3p6.36d"	"2D"	"5/2"	6	""	"34923.8203"	""	"0.0007"	""	"L5451"
"3p6.36d"	"2D"	"3/2"	4	""	"34923.8212"	""	"0.0007"	""	"L5451"
"3p6.38s"	"2S"	"1/2"	2	""	"34924.2808"	""	"0.0007"	""	"L5451"
"3p6.37d"	"2D"	"5/2"	6	"["	"34928.4396"	"]"	"0.0007"	""	"L5451"
"3p6.37d"	"2D"	"3/2"	4	"["	"34928.4403"	"]"	"0.0007"	""	"L5451"
"3p6.39s"	"2S"	"1/2"	2	"["	"34928.8634"	"]"	"0.0007"	""	"L5451"
"3p6.38d"	"2D"	"5/2"	6	""	"34932.6961"	""	"0.0007"	""	"L5451"
"3p6.38d"	"2D"	"3/2"	4	""	"34932.6969"	""	"0.0007"	""	"L5451"
"3p6.40s"	"2S"	"1/2"	2	""	"34933.0874"	""	"0.0007"	""	"L5451"
"3p6.39d"	"2D"	"5/2"	6	"["	"34936.6273"	"]"	"0.0007"	""	"L5451"
"3p6.39d"	"2D"	"3/2"	4	"["	"34936.6279"	"]"	"0.0007"	""	"L5451"
"3p6.41s"	"2S"	"1/2"	2	"["	"34936.9892"	"]"	"0.0007"	""	"L5451"
"3p6.40d"	"2D"	"5/2"	6	""	"34940.2653"	""	"0.0007"	""	"L5451"
"3p6.40d"	"2D"	"3/2"	4	""	"34940.2660"	""	"0.0007"	""	"L5451"
"3p6.42s"	"2S"	"1/2"	2	""	"34940.6009"	""	"0.0007"	""	"L5451"
"3p6.41d"	"2D"	"5/2"	6	"["	"34943.6386"	"]"	"0.0007"	""	"L5451"
"3p6.41d"	"2D"	"3/2"	4	"["	"34943.6393"	"]"	"0.0007"	""	"L5451"
"3p6.43s"	"2S"	"1/2"	2	"["	"34943.9500"	"]"	"0.0007"	""	"L5451"
"3p6.42d"	"2D"	"5/2"	6	""	"34946.7726"	""	"0.0007"	""	"L5451"
"3p6.42d"	"2D"	"3/2"	4	"["	"34946.7730"	"]"	"0.0007"	""	"L5451"
"3p6.44s"	"2S"	"1/2"	2	""	"34947.0620"	""	"0.0007"	""	"L5451"
"3p6.43d"	"2D"	"5/2"	6	"["	"34949.6886"	"]"	"0.0007"	""	"L5451"
"3p6.43d"	"2D"	"3/2"	4	"["	"34949.6892"	"]"	"0.0007"	""	"L5451"
"3p6.45s"	"2S"	"1/2"	2	"["	"34949.9585"	"]"	"0.0007"	""	"L5451"
"3p6.44d"	"2D"	"5/2"	6	"["	"34952.4071"	"]"	"0.0007"	""	"L5451"
"3p6.44d"	"2D"	"3/2"	4	"["	"34952.4077"	"]"	"0.0007"	""	"L5451"
"3p6.46s"	"2S"	"1/2"	2	""	"34952.6589"	""	"0.0007"	""	"L5451"
"3p6.45d"	"2D"	"5/2"	6	"["	"34954.9453"	"]"	"0.0007"	""	"L5451"
"3p6.45d"	"2D"	"3/2"	4	"["	"34954.9458"	"]"	"0.0007"	""	"L5451"
"3p6.46d"	"2D"	"5/2"	6	""	"34957.3187"	""	"0.0007"	""	"L5451"
"3p6.46d"	"2D"	"3/2"	4	"["	"34957.3193"	"]"	"0.0007"	""	"L5451"
"K II (3p6 1S<0>)"	"Limit"	"---"		""	"35009.8140"	""	"0.0007"	""	"L5451,L5783,L7185"
"3p5.4s2"	"2P*"	"3/2"	4	""	"151008"	""	"3"	""	"L3602"
"3p5.4s2"	"2P*"	"1/2"	2	""	"153085"	""	"3"	""	"L3602"
"3p5.3d.(3P*).4s"	"4P*"	"1/2"	2	""	"159367"	""	"4"	""	"L3602"
"3p5.3d.(3P*).4s"	"4P*"	"3/2"	4	""	"159678"	""	"4"	""	"L3602"
"3p5.3d.(3P*).4s"	"4P*"	"5/2"	6	""	"160245"	""	"65"	""	"L4582"
"3p5.(2P*).4s.4p.(3P*)"	"4S"	"3/2"	4	""	"161473"	""	"65"	""	"L4582"
"3p5.3d.(3P*).4s"	"2P*"	"1/2"	2	""	"162404"	""	"4"	""	"L3602"
"3p5.3d.(3P*).4s"	"2P*"	"3/2"	4	""	"163006"	""	"4"	""	"L3602"
"3p5.(2P*).4s.4p.(3P*)"	"4D"	"3/2"	4	""	"164506"	""	"65"	""	"L4582"
"3p5.(2P*).4s.4p.(3P*)"	"4D"	"1/2"	2	""	"164998"	""	"65"	""	"L4582"
"3p5.3d.(3F*).4s"	"4F*"	"7/2"	8	""	"165213"	""	"65"	""	"L4582"
"3p5.3d.(3F*).4s"	"4F*"	"5/2"	6	""	"165729"	""	"65"	""	"L4582"
"3p5.3d.(3F*).4s"	"4F*"	"3/2"	4	""	"166221"	""	"65"	""	"L4582"
"3p5.(2P*).4s.4p.(3P*)"	"2D"	"3/2"	4	""	"166506"	""	"65"	""	"L4582"
"3p5.(2P*).4s.4p.(3P*)"	"2D"	"5/2"	6	""	"166950"	""	"65"	""	"L4582"
"3p5.3d.(3F*).4s"	"2F*"	"7/2"	8	""	"167528"	""	"65"	""	"L4582"
"3p5.3d.(3F*).4s"	"2F*"	"5/2"	6	""	"167964"	""	"65"	""	"L4582"
"3p5.(2P*).4s.4p.(3P*)"	"2P"	"1/2"	2	""	"168378"	""	"65"	""	"L4582"
"3p5.(2P*).4s.4p.(3P*)"	"2P"	"3/2"	4	""	"168515"	""	"65"	""	"L4582"
"3p5.3d.(3D*).4s"	"4D*"	"7/2"	8	""	"172072"	""	"65"	""	"L4582"
"3p5.3d.(3D*).4s"	"4D*"	"3/2"	4	""	"172623"	""	"4"	""	"L3602"
"3p5.3d.(3D*).4s"	"4D*"	"1/2"	2	""	"172800"	""	"4"	""	"L3602"
"3p5.3d.(1D*).4s"	"2D*"	"3/2"	4	""	"173198"	""	"4"	""	"L4582"
"3p5.3d.(1D*).4s"	"2D*"	"5/2"	6	""	"173371"	""	"65"	""	"L4582"
"3p5.3d.(1F*).4s"	"2F*"	"7/2"	8	""	"174319"	""	"65"	""	"L4582"
"3p5.3d.(1F*).4s"	"2F*"	"5/2"	6	""	"174577"	""	"65"	""	"L4582"
"3p5.(2P*).4s.4p.(1P*)"	"2D"	"5/2"	6	""	"175815"	""	"65"	""	"L4582"
"3p5.(2P*).4s.4p.(1P*)"	"2D"	"3/2"	4	""	"177775"	""	"65"	""	"L4582"
"3p5.(2P*).4s.4p.(1P*)"	"2S"	"1/2"	2	""	"176278"	""	"65"	""	"L4582"
"3p5.3d.(3D*).4s"	"2D*"	"5/2"	6	""	"179549"	""	"65"	""	"L4582"
"3p5.3d.(3D*).4s"	"2D*"	"3/2"	4	""	"179887"	""	"2"	""	"L6851"
"3p5.(2P*).4s.4p.(1P*)"	"2P"	"3/2"	4	""	"180315"	""	"65"	""	"L4582"
"3p5.4s.(1P*).5s"	"2P*"	"3/2"	4	""	"184347"	""	"2"	""	"L6851"
"3p5.4s.(1P*).5s"	"2P*"	"1/2"	2	""	"185153"	""	"2"	""	"L6851"
"3p5.4s.(1P*).6s"	"2P*"	"1/2,3/2"	6	""	"193072"	""	"3"	""	"L6851"
"3p5.4s.(1P*).5d"	"2D*"	"3/2"	4	""	"193756"	""	"3"	""	"L6851"
"3p5.4s.(1P*).5d"	"2P*"	"1/2"	2	""	"193946"	""	"3"	""	"L6851"
"3p5.4s.(1P*).5d"	"2P*"	"3/2"	4	""	"194075"	""	"3"	""	"L6851"
"3p5.4s.(1P*).7s"	"2P*"	"1/2,3/2"	6	""	"196318"	""	"3"	""	"L6851"
"3p5.4s.(1P*).6d"	"2P*"	"3/2"	4	""	"196361"	""	"3"	""	"L6851"
"3p5.4s.(1P*).6d"	"2P*"	"1/2"	2	""	"196727"	""	"3"	""	"L6851"
"3p5.4s.(1P*).6d"	"2D*"	"3/2"	4	""	"196831"	""	"3"	""	"L6851"
"3p5.4s.(1P*).8s"	"2P*"	"1/2"	2	""	"197888"	""	"3"	""	"L6851"
"3p5.4s.(1P*).8s"	"2P*"	"3/2"	4	""	"197952"	""	"3"	""	"L6851"
"3p5.4s.(1P*).7d"	"2P*"	"1/2,3/2"	6	""	"198051"	""	"3"	""	"L6851"
"3p5.4s.(1P*).8d"	"2P*?"	"1/2,3/2"	6	""	"198900"	""	"150"	""	"L6851"
"3p5.4s.(1P*).9s"	"2P*?"	"1/2,3/2"	6	""	"198900"	""	"150"	""	"L6851"
"3p5.4s.(1P*).10s"	"2P*"	"1/2,3/2"	6	""	"199567"	""	"3"	""	"L6851"
"3p5.4s.(1P*).11s"	"2P*"	"1/2,3/2"	6	""	"199980"	""	"50"	""	"L6851"
"3p5.4s.(1P*).10d"	"2P*"	"1/2,3/2"	6	""	"199980"	""	"50"	""	"L6851"
"3p5.4s.(1P*).12s"	"2P*"	"1/2,3/2"	6	""	"200270"	""	"50"	""	"L6851"
"3p5.4s.(1P*).11d"	"2P*"	"1/2,3/2"	6	""	"200270"	""	"50"	""	"L6851"
"3p5.4s.(1P*).13s"	"2P*"	"1/2,3/2"	6	""	"200490"	""	"50"	""	"L6851"
"3p5.4s.(1P*).12d"	"2P*"	"1/2,3/2"	6	""	"200490"	""	"50"	""	"L6851"
"3p5.4s.(1P*).14s"	"2P*"	"1/2,3/2"	6	""	"200660"	""	"50"	""	"L6851"
"3p5.4s.(1P*).13d"	"2P*"	"1/2,3/2"	6	""	"200660"	""	"50"	""	"L6851"
"3p5.4s.(1P*).15s"	"2P*"	"1/2,3/2"	6	""	"200773"	""	"5"	""	"L6851"
"3p5.4s.(1P*).14d"	"2P*"	"1/2,3/2"	6	""	"200773"	""	"5"	""	"L6851"
"3p5.4s.(1P*).16s"	"2P*"	"1/2,3/2"	6	""	"200875"	""	"3"	""	"L6851"
"3p5.4s.(1P*).15d"	"2P*"	"1/2,3/2"	6	""	"200875"	""	"3"	""	"L6851"
"3p5.4s.(1P*).17s"	"2P*"	"1/2,3/2"	6	""	"200952"	""	"3"	""	"L6851"
"3p5.4s.(1P*).16d"	"2P*"	"1/2,3/2"	6	""	"200952"	""	"3"	""	"L6851"
"3p5.4s.(1P*).17d"	"2P*"	"1/2,3/2"	6	""	"201014"	""	"3"	""	"L6851"
"3p5.4s.(1P*).18s"	"2P*"	"1/2,3/2"	6	""	"201014"	""	"3"	""	"L6851"
"3p5.4s.(1P*).18d"	"2P*"	"1/2,3/2"	6	""	"201068"	""	"3"	""	"L6851"
"3p5.4s.(1P*).19s"	"2P*"	"1/2,3/2"	6	""	"201068"	""	"3"	""	"L6851"
"3p5.4s.(1P*).19d"	"2P*"	"1/2,3/2"	6	""	"201112"	""	"3"	""	"L6851"
"3p5.4s.(1P*).20s"	"2P*"	"1/2,3/2"	6	""	"201112"	""	"3"	""	"L6851"
"3p5.4s.(1P*).20d"	"2P*"	"1/2,3/2"	6	""	"201149"	""	"3"	""	"L6851"
"3p5.4s.(1P*).21s"	"2P*"	"1/2,3/2"	6	""	"201149"	""	"3"	""	"L6851"
"3p5.4s.(1P*).22s"	"2P*"	"1/2,3/2"	6	""	"201180"	""	"3"	""	"L6851"
"3p5.4s.(1P*).21d"	"2P*"	"1/2,3/2"	6	""	"201180"	""	"3"	""	"L6851"
"3p5.4s.(1P*).23s"	"2P*"	"1/2,3/2"	6	""	"201208"	""	"3"	""	"L6851"
"3p5.4s.(1P*).22d"	"2P*"	"1/2,3/2"	6	""	"201208"	""	"3"	""	"L6851"
"3p5.4s.(1P*).24s"	"2P*"	"1/2,3/2"	6	""	"201231"	""	"3"	""	"L6851"
"3p5.4s.(1P*).23d"	"2P*"	"1/2,3/2"	6	""	"201231"	""	"3"	""	"L6851"
"3p5.4s.(1P*).25s"	"2P*"	"1/2,3/2"	6	""	"201253"	""	"3"	""	"L6851"
"3p5.4s.(1P*).24d"	"2P*"	"1/2,3/2"	6	""	"201253"	""	"3"	""	"L6851"
"3p5.4s.(1P*).26s"	"2P*"	"1/2,3/2"	6	""	"201270"	""	"3"	""	"L6851"
"3p5.4s.(1P*).25d"	"2P*"	"1/2,3/2"	6	""	"201270"	""	"3"	""	"L6851"
"3p5.4s.(1P*).27s"	"2P*"	"1/2,3/2"	6	""	"201286"	""	"3"	""	"L6851"
"3p5.4s.(1P*).26d"	"2P*"	"1/2,3/2"	6	""	"201286"	""	"3"	""	"L6851"
"3p5.4s.(1P*).28s"	"2P*"	"1/2,3/2"	6	""	"201301"	""	"3"	""	"L6851"
"3p5.4s.(1P*).27d"	"2P*"	"1/2,3/2"	6	""	"201301"	""	"3"	""	"L6851"
"3p5.4s.(1P*).29s"	"2P*"	"1/2,3/2"	6	""	"201313"	""	"3"	""	"L6851"
"3p5.4s.(1P*).28d"	"2P*"	"1/2,3/2"	6	""	"201313"	""	"3"	""	"L6851"
"3p5.4s.(1P*).30s"	"2P*"	"1/2,3/2"	6	""	"201324"	""	"3"	""	"L6851"
"3p5.4s.(1P*).29d"	"2P*"	"1/2,3/2"	6	""	"201324"	""	"3"	""	"L6851"
"3p5.4s.(1P*).31s"	"2P*"	"1/2,3/2"	6	""	"201336"	""	"3"	""	"L6851"
"3p5.4s.(1P*).30d"	"2P*"	"1/2,3/2"	6	""	"201336"	""	"3"	""	"L6851"
"3p5.4s.(1P*).32s"	"2P*"	"1/2,3/2"	6	""	"201346"	""	"3"	""	"L6851"
"3p5.4s.(1P*).31d"	"2P*"	"1/2,3/2"	6	""	"201346"	""	"3"	""	"L6851"
"3p5.4s.(1P*).33s"	"2P*"	"1/2,3/2"	6	""	"201356"	""	"3"	""	"L6851"
"3p5.4s.(1P*).32d"	"2P*"	"1/2,3/2"	6	""	"201356"	""	"3"	""	"L6851"
"K II (3p5.4s 1P*<1>)"	"Limit"	"---"		""	"201467.1"	""	"0.1"	""	"L12188"
"3p5.3d.(1P*).5s"	"2P*"	"1/2,3/2"	6	""	"214059"	""	"3"	""	"L6851"
"3p5.3d.(1P*).11s"	"2P*"	"1/2,3/2"	6	""	"235452"	""	"4"	""	"L6851"
"3p5.3d.(1P*).12s"	"2P*"	"1/2,3/2"	6	""	"235723"	""	"4"	""	"L6851"
"3p5.3d.(1P*).13s"	"2P*"	"1/2,3/2"	6	""	"235926"	""	"4"	""	"L6851"
"3p5.3d.(1P*).14s"	"2P*"	"1/2,3/2"	6	""	"236070"	""	"4"	""	"L6851"
"3p5.3d.(1P*).15s"	"2P*"	"1/2,3/2"	6	""	"236198"	""	"4"	""	"L6851"
"3p5.3d.(1P*).16s"	"2P*"	"1/2,3/2"	6	""	"236300"	""	"4"	""	"L6851"
"3p5.3d.(1P*).17s"	"2P*"	"1/2,3/2"	6	""	"236383"	""	"4"	""	"L6851"
"3p5.3d.(1P*).18s"	"2P*"	"1/2,3/2"	6	""	"236457"	""	"4"	""	"L6851"
"3p5.3d.(1P*).19s"	"2P*"	"1/2,3/2"	6	""	"236517"	""	"4"	""	"L6851"
"3p5.3d.(1P*).20s"	"2P*"	"1/2,3/2"	6	""	"236569"	""	"4"	""	"L6851"
"3p5.3d.(1P*).21s"	"2P*"	"1/2,3/2"	6	""	"236612"	""	"4"	""	"L6851"
"3p5.3d.(1P*).22s"	"2P*"	"1/2,3/2"	6	""	"236649"	""	"4"	""	"L6851"
"3p5.3d.(1P*).23s"	"2P*"	"1/2,3/2"	6	""	"236678"	""	"4"	""	"L6851"
"K II (3p5.3d 1P*<1>)"	"Limit"	"---"		""	"236967.4"	""	"0.2"	""	"L12188"