Configuration	Term	J	g	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Leading percentages	Reference
"2p6.3s"	"2S"	"1/2"	2	""	"0.00000"	""	""	"                                                                                              "	"L13237"
"2p6.3p"	"2P*"	"1/2"	2	""	"16956.17025"	""	"0.00004"	"                                                                                              "	""
"2p6.3p"	"2P*"	"3/2"	4	""	"16973.36619"	""	"0.00005"	"                                                                                              "	""
"2p6.4s"	"2S"	"1/2"	2	""	"25739.999"	""	"0.003"	"                                                                                              "	""
"2p6.3d"	"2D"	"5/2"	6	""	"29172.837"	""	"0.002"	"                                                                                              "	""
"2p6.3d"	"2D"	"3/2"	4	""	"29172.887"	""	"0.002"	"                                                                                              "	""
"2p6.4p"	"2P*"	"1/2"	2	""	"30266.99"	""	"0.02"	"                                                                                              "	""
"2p6.4p"	"2P*"	"3/2"	4	""	"30272.58"	""	"0.02"	"                                                                                              "	""
"2p6.5s"	"2S"	"1/2"	2	""	"33200.673"	""	"0.002"	"                                                                                              "	""
"2p6.4d"	"2D"	"5/2"	6	""	"34548.729"	""	"0.002"	"                                                                                              "	""
"2p6.4d"	"2D"	"3/2"	4	""	"34548.764"	""	"0.002"	"                                                                                              "	""
"2p6.4f"	"2F*"	"5/2"	6	""	"34586.92"	""	"0.02"	"                                                                                              "	""
"2p6.4f"	"2F*"	"7/2"	8	""	"34586.92"	""	"0.02"	"                                                                                              "	""
"2p6.5p"	"2P*"	"1/2"	2	""	"35040.38"	""	"0.02"	"                                                                                              "	""
"2p6.5p"	"2P*"	"3/2"	4	""	"35042.85"	""	"0.02"	"                                                                                              "	""
"2p6.6s"	"2S"	"1/2"	2	""	"36372.618"	""	"0.002"	"                                                                                              "	""
"2p6.5d"	"2D"	"5/2"	6	""	"37036.752"	""	"0.002"	"                                                                                              "	""
"2p6.5d"	"2D"	"3/2"	4	""	"37036.772"	""	"0.002"	"                                                                                              "	""
"2p6.5f"	"2F*"	"5/2"	6	""	"37057.65"	""	"0.02"	"                                                                                              "	""
"2p6.5f"	"2F*"	"7/2"	8	""	"37057.65"	""	"0.02"	"                                                                                              "	""
"2p6.5g"	"2G"	"7/2,9/2"	18	""	"37059.54"	""	"0.07"	"                                                                                              "	""
"2p6.6p"	"2P*"	"1/2"	2	""	"37296.32"	""	"0.02"	"                                                                                              "	""
"2p6.6p"	"2P*"	"3/2"	4	""	"37297.61"	""	"0.02"	"                                                                                              "	""
"2p6.7s"	"2S"	"1/2"	2	""	"38012.042"	""	"0.002"	"                                                                                              "	""
"2p6.6d"	"2D"	"5/2"	6	""	"38387.255"	""	"0.002"	"                                                                                              "	""
"2p6.6d"	"2D"	"3/2"	4	""	"38387.268"	""	"0.002"	"                                                                                              "	""
"2p6.6f"	"2F*"	"5/2"	6	""	"38399.79"	""	"0.02"	"                                                                                              "	""
"2p6.6f"	"2F*"	"7/2"	8	""	"38399.79"	""	"0.02"	"                                                                                              "	""
"2p6.6g"	"2G"	"7/2"	8	"["	"38400.900"	"]"	"0.002"	"                                                                                              "	""
"2p6.6g"	"2G"	"9/2"	10	"["	"38400.904"	"]"	"0.002"	"                                                                                              "	""
"2p6.6h"	"2H*"	"11/2"	12	"["	"38401.147"	"]"	"0.002"	"                                                                                              "	""
"2p6.6h"	"2H*"	"9/2"	10	"["	"38401.153"	"]"	"0.002"	"                                                                                              "	""
"2p6.7p"	"2P*"	"1/2"	2	""	"38540.18"	""	"0.02"	"                                                                                              "	""
"2p6.7p"	"2P*"	"3/2"	4	""	"38540.93"	""	"0.02"	"                                                                                              "	""
"2p6.8s"	"2S"	"1/2"	2	""	"38968.51"	""	"0.02"	"                                                                                              "	""
"2p6.7d"	"2D"	"3/2"	4	""	"39200.93"	""	"0.02"	"                                                                                              "	""
"2p6.7d"	"2D"	"5/2"	6	""	"39200.93"	""	"0.02"	"                                                                                              "	""
"2p6.7f"	"2F*"	"5/2"	6	""	"39208.98"	""	"0.02"	"                                                                                              "	""
"2p6.7f"	"2F*"	"7/2"	8	""	"39208.98"	""	"0.02"	"                                                                                              "	""
"2p6.7g"	"2G"	"7/2,9/2"	18	"["	"39209.725"	"]"	"0.002"	"                                                                                              "	""
"2p6.7h"	"2H*"	"9/2,11/2"	22	"["	"39209.887"	"]"	"0.002"	"                                                                                              "	""
"2p6.8p"	"2P*"	"1/2"	2	""	"39298.35"	""	"0.02"	"                                                                                              "	""
"2p6.8p"	"2P*"	"3/2"	4	""	"39298.84"	""	"0.02"	"                                                                                              "	""
"2p6.9s"	"2S"	"1/2"	2	""	"39574.85"	""	"0.02"	"                                                                                              "	""
"2p6.8d"	"2D"	"5/2"	6	""	"39728.70"	""	"0.02"	"                                                                                              "	""
"2p6.8d"	"2D"	"3/2"	4	""	"39728.70"	""	"0.02"	"                                                                                              "	""
"2p6.8f"	"2F*"	"5/2"	6	""	"39734.16"	""	"0.02"	"                                                                                              "	""
"2p6.8f"	"2F*"	"7/2"	8	""	"39734.16"	""	"0.02"	"                                                                                              "	""
"2p6.8g"	"2G"	"7/2,9/2"	18	"["	"39734.678"	"]"	"0.002"	"                                                                                              "	""
"2p6.8h"	"2H*"	"9/2,11/2"	22	"["	"39734.790"	"]"	"0.002"	"                                                                                              "	""
"2p6.9p"	"2P*"	"1/2"	2	"["	"39794.479"	"]"	"0.002"	"                                                                                              "	""
"2p6.9p"	"2P*"	"3/2"	4	"["	"39794.810"	"]"	"0.002"	"                                                                                              "	""
"2p6.10s"	"2S"	"1/2"	2	""	"39983.27"	""	"0.02"	"                                                                                              "	""
"2p6.9d"	"2D"	"3/2"	4	""	"40090.31"	""	"0.02"	"                                                                                              "	""
"2p6.9d"	"2D"	"5/2"	6	""	"40090.31"	""	"0.02"	"                                                                                              "	""
"2p6.9f"	"2F*"	"7/2"	8	""	"40094.19"	""	"0.02"	"                                                                                              "	""
"2p6.9f"	"2F*"	"5/2"	6	""	"40094.19"	""	"0.02"	"                                                                                              "	""
"2p6.9g"	"2G"	"7/2,9/2"	18	"["	"40094.581"	"]"	"0.002"	"                                                                                              "	""
"2p6.9h"	"2H*"	"9/2,11/2"	22	"["	"40094.660"	"]"	"0.002"	"                                                                                              "	""
"2p6.10p"	"2P*"	"1/2"	2	""	"40136.810"	""	"0.002"	"                                                                                              "	""
"2p6.10p"	"2P*"	"3/2"	4	""	"40137.043"	""	"0.002"	"                                                                                              "	""
"2p6.11s"	"2S"	"1/2"	2	""	"40271.396"	""	"0.002"	"                                                                                              "	""
"2p6.10d"	"2D"	"5/2"	6	""	"40348.915"	""	"0.002"	"                                                                                              "	""
"2p6.10d"	"2D"	"3/2"	4	""	"40348.918"	""	"0.002"	"                                                                                              "	""
"2p6.10f"	"2F*"	"5/2"	6	"["	"40351.761"	"]"	"0.002"	"                                                                                              "	""
"2p6.10f"	"2F*"	"7/2"	8	"["	"40351.761"	"]"	"0.002"	"                                                                                              "	""
"2p6.10g"	"2G"	"7/2,9/2"	18	"["	"40352.015"	"]"	"0.002"	"                                                                                              "	""
"2p6.10h"	"2H*"	"9/2,11/2"	22	"["	"40352.073"	"]"	"0.002"	"                                                                                              "	""
"2p6.11p"	"2P*"	"1/2"	2	""	"40382.925"	""	"0.002"	"                                                                                              "	""
"2p6.11p"	"2P*"	"3/2"	4	""	"40383.097"	""	"0.002"	"                                                                                              "	""
"2p6.12s"	"2S"	"1/2"	2	""	"40482.236"	""	"0.002"	"                                                                                              "	""
"2p6.11d"	"2D"	"5/2"	6	"["	"40540.093"	"]"	"0.002"	"                                                                                              "	""
"2p6.11d"	"2D"	"3/2"	4	"["	"40540.095"	"]"	"0.002"	"                                                                                              "	""
"2p6.11f"	"2F*"	"5/2"	6	"["	"40542.293"	"]"	"0.002"	"                                                                                              "	""
"2p6.11f"	"2F*"	"7/2"	8	"["	"40542.293"	"]"	"0.002"	"                                                                                              "	""
"2p6.11g"	"2G"	"7/2,9/2"	18	"["	"40542.484"	"]"	"0.002"	"                                                                                              "	""
"2p6.12p"	"2P*"	"1/2"	2	"["	"40565.783"	"]"	"0.002"	"                                                                                              "	""
"2p6.12p"	"2P*"	"3/2"	4	"["	"40565.913"	"]"	"0.002"	"                                                                                              "	""
"2p6.13s"	"2S"	"1/2"	2	"["	"40641.148"	"]"	"0.002"	"                                                                                              "	""
"2p6.12d"	"2D"	"3/2"	4	"["	"40685.509"	"]"	"0.002"	"                                                                                              "	""
"2p6.12d"	"2D"	"5/2"	6	"["	"40685.509"	"]"	"0.002"	"                                                                                              "	""
"2p6.12f"	"2F*"	"5/2,7/2"	14	"["	"40687.203"	"]"	"0.002"	"                                                                                              "	""
"2p6.12g"	"2G"	"7/2,9/2"	18	"["	"40687.352"	"]"	"0.002"	"                                                                                              "	""
"2p6.13p"	"2P*"	"1/2"	2	"["	"40705.344"	"]"	"0.002"	"                                                                                              "	""
"2p6.13p"	"2P*"	"3/2"	4	"["	"40705.444"	"]"	"0.002"	"                                                                                              "	""
"2p6.14s"	"2S"	"1/2"	2	"["	"40763.884"	"]"	"0.002"	"                                                                                              "	""
"2p6.13d"	"2D"	"5/2"	6	"["	"40798.642"	"]"	"0.002"	"                                                                                              "	""
"2p6.13d"	"2D"	"3/2"	4	"["	"40798.644"	"]"	"0.002"	"                                                                                              "	""
"2p6.13f"	"2F*"	"5/2,7/2"	14	"["	"40799.974"	"]"	"0.002"	"                                                                                              "	""
"2p6.13g"	"2G"	"7/2,9/2"	18	"["	"40800.091"	"]"	"0.002"	"                                                                                              "	""
"2p6.14p"	"2P*"	"1/2"	2	"["	"40814.273"	"]"	"0.002"	"                                                                                              "	""
"2p6.14p"	"2P*"	"3/2"	4	"["	"40814.352"	"]"	"0.002"	"                                                                                              "	""
"2p6.15s"	"2S"	"1/2"	2	"["	"40860.648"	"]"	"0.002"	"                                                                                              "	""
"2p6.14d"	"2D"	"5/2"	6	"["	"40888.386"	"]"	"0.002"	"                                                                                              "	""
"2p6.14d"	"2D"	"3/2"	4	"["	"40888.387"	"]"	"0.002"	"                                                                                              "	""
"2p6.14f"	"2F*"	"5/2,7/2"	14	"["	"40889.452"	"]"	"0.002"	"                                                                                              "	""
"2p6.14g"	"2G"	"7/2,9/2"	18	"["	"40889.546"	"]"	"0.002"	"                                                                                              "	""
"2p6.15p"	"2P*"	"1/2"	2	"["	"40900.922"	"]"	"0.002"	"                                                                                              "	""
"2p6.15p"	"2P*"	"3/2"	4	"["	"40900.985"	"]"	"0.002"	"                                                                                              "	""
"2p6.16s"	"2S"	"1/2"	2	"["	"40938.281"	"]"	"0.002"	"                                                                                              "	""
"2p6.15d"	"2D"	"3/2"	4	"["	"40960.771"	"]"	"0.002"	"                                                                                              "	""
"2p6.15d"	"2D"	"5/2"	6	"["	"40960.771"	"]"	"0.002"	"                                                                                              "	""
"2p6.15f"	"2F*"	"5/2,7/2"	14	"["	"40961.637"	"]"	"0.002"	"                                                                                              "	""
"2p6.15g"	"2G"	"7/2,9/2"	18	"["	"40961.714"	"]"	"0.002"	"                                                                                              "	""
"2p6.16p"	"2P*"	"1/2"	2	"["	"40970.976"	"]"	"0.002"	"                                                                                              "	""
"2p6.16p"	"2P*"	"3/2"	4	"["	"40971.028"	"]"	"0.002"	"                                                                                              "	""
"2p6.17s"	"2S"	"1/2"	2	"["	"41001.515"	"]"	"0.002"	"                                                                                              "	""
"2p6.16d"	"2D"	"5/2"	6	"["	"41020.000"	"]"	"0.002"	"                                                                                              "	""
"2p6.16d"	"2D"	"3/2"	4	"["	"41020.001"	"]"	"0.002"	"                                                                                              "	""
"2p6.16f"	"2F*"	"5/2,7/2"	14	"["	"41020.714"	"]"	"0.002"	"                                                                                              "	""
"2p6.16g"	"2G"	"7/2,9/2"	18	"["	"41020.777"	"]"	"0.002"	"                                                                                              "	""
"2p6.17p"	"2P*"	"1/2"	2	"["	"41028.419"	"]"	"0.002"	"                                                                                              "	""
"2p6.17p"	"2P*"	"3/2"	4	"["	"41028.462"	"]"	"0.002"	"                                                                                              "	""
"2p6.18s"	"2S"	"1/2"	2	"["	"41053.701"	"]"	"0.002"	"                                                                                              "	""
"2p6.17d"	"2D"	"5/2"	6	"["	"41069.079"	"]"	"0.002"	"                                                                                              "	""
"2p6.17d"	"2D"	"3/2"	4	"["	"41069.080"	"]"	"0.002"	"                                                                                              "	""
"2p6.17f"	"2F*"	"5/2,7/2"	14	"["	"41069.674"	"]"	"0.002"	"                                                                                              "	""
"2p6.17g"	"2G"	"7/2,9/2"	18	"["	"41069.727"	"]"	"0.002"	"                                                                                              "	""
"2p6.18p"	"2P*"	"1/2"	2	"["	"41076.106"	"]"	"0.002"	"                                                                                              "	""
"2p6.18p"	"2P*"	"3/2"	4	"["	"41076.141"	"]"	"0.002"	"                                                                                              "	""
"2p6.19s"	"2S"	"1/2"	2	"["	"41097.271"	"]"	"0.002"	"                                                                                              "	""
"2p6.18d"	"2D"	"5/2"	6	"["	"41110.202"	"]"	"0.002"	"                                                                                              "	""
"2p6.18d"	"2D"	"3/2"	4	"["	"41110.202"	"]"	"0.002"	"                                                                                              "	""
"2p6.18f"	"2F*"	"5/2,7/2"	14	"["	"41110.703"	"]"	"0.002"	"                                                                                              "	""
"2p6.18g"	"2G"	"7/2"	8	"["	"41110.747"	"]"	"0.002"	"                                                                                              "	""
"2p6.18g"	"2G"	"9/2"	10	"["	"41110.748"	"]"	"0.002"	"                                                                                              "	""
"2p6.19p"	"2P*"	"1/2"	2	"["	"41116.126"	"]"	"0.002"	"                                                                                              "	""
"2p6.19p"	"2P*"	"3/2"	4	"["	"41116.156"	"]"	"0.002"	"                                                                                              "	""
"2p6.20s"	"2S"	"1/2"	2	"["	"41134.023"	"]"	"0.002"	"                                                                                              "	""
"2p6.19d"	"2D"	"5/2"	6	"["	"41144.999"	"]"	"0.002"	"                                                                                              "	""
"2p6.19d"	"2D"	"3/2"	4	"["	"41145.000"	"]"	"0.002"	"                                                                                              "	""
"2p6.19f"	"2F*"	"5/2,7/2"	14	"["	"41145.425"	"]"	"0.002"	"                                                                                              "	""
"2p6.19g"	"2G"	"7/2,9/2"	18	"["	"41145.463"	"]"	"0.002"	"                                                                                              "	""
"2p6.20p"	"2P*"	"1/2"	2	"["	"41150.040"	"]"	"0.002"	"                                                                                              "	""
"2p6.20p"	"2P*"	"3/2"	4	"["	"41150.066"	"]"	"0.002"	"                                                                                              "	""
"2p6.20d"	"2D"	"5/2"	6	"["	"41174.705"	"]"	"0.002"	"                                                                                              "	""
"2p6.20d"	"2D"	"3/2"	4	"["	"41174.705"	"]"	"0.002"	"                                                                                              "	""
"2p6.20f"	"2F*"	"5/2,7/2"	14	"["	"41175.070"	"]"	"0.002"	"                                                                                              "	""
"2p6.20g"	"2G"	"7/2,9/2"	18	"["	"41175.102"	"]"	"0.002"	"                                                                                              "	""
"Na II (2p6 1S<0>)"	"Limit"	"---"		""	"41449.451"	""	"0.002"	"                                                                                              "	"L10921,L9648"
"2p5.3s2"	"2P*"	"3/2"	4	""	"248170"	""	"5"	"  93                                               :     6  2p5.(2P*).3p2.(1S)    2P*         "	""
"2p5.3s2"	"2P*"	"1/2"	2	""	"249489"	""	"12"	"  93                                               :     6  2p5.(2P*).3p2.(1S)    2P*         "	""
"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	4	""	"263745.3"	""	"3.9"	"  97                                                                                          "	""
"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	8	""	"266586.7"	""	"3.9"	"  98                                                                                          "	""
"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	6	""	"266933.9"	""	"3.8"	"  93                                                                                          "	""
"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	4	""	"267282.3"	""	"3.8"	"  90                                               :     5                        2D          "	""
